Recipe, UpperSample, LowerSample, OtherInfo, Averaging, LogFrequency, Type, RadiusRotary_9N_4tests-REVERSE_75-300mm-s_6-15mm-radius_3min-each.Rx,,,,100,1000,Rotary,1,
Step, Timestamp, RecipeStep, DAQ.Fz (N),DAQ.Fx (N),DAQ.COF (),Rotary.Position (rev),Rotary.Velocity (rpm),XYZ.X Position (mm),XYZ.Z Position (mm),XYZ.Y Position (mm),
4,25.388,4,8.978569,1.550231,0.172659,201.1725,477.495,0,-115.3831,-9.33,
4,25.488,4,8.980492,1.585401,0.1765383,201.9175,477.3838,0,-115.383,-9.33,
4,25.588,4,8.978975,1.554849,0.1731655,202.69,477.3163,0,-115.3832,-9.33,
4,25.688,4,8.981526,1.563938,0.1741284,203.455,477.5287,0,-115.3832,-9.33,
4,25.788,4,8.980086,1.577373,0.1756523,204.4187,477.7925,0,-115.3832,-9.33,
4,25.888,4,8.982183,1.548153,0.1723582,205.1763,477.0925,0,-115.3832,-9.33,
4,25.988,4,8.980697,1.584664,0.1764522,205.9362,477.4525,0,-115.3832,-9.33,
4,26.088,4,8.976572,1.55958,0.173739,206.6937,477.6825,0,-115.3834,-9.33,
4,26.188,4,8.985329,1.567793,0.1744837,207.6425,476.9975,0,-115.3836,-9.33,
4,26.288,4,8.987043,1.582231,0.1760569,208.4075,477.4488,0,-115.3839,-9.33,
4,26.388,4,8.981743,1.561013,0.1737984,209.175,477.4325,0,-115.3838,-9.33,
4,26.488,4,8.982647,1.595802,0.1776539,209.9413,477.565,0,-115.3838,-9.33,
4,26.588,4,8.98387,1.559545,0.1735939,210.69,477.1837,0,-115.3839,-9.33,
4,26.688,4,8.986269,1.579588,0.1757779,211.4562,477.4525,0,-115.3841,-9.33,
4,26.788,4,8.988201,1.563442,0.1739438,212.2325,477.64,0,-115.3842,-9.33,
4,26.888,4,8.990074,1.55266,0.1727083,213.1975,477.8475,0,-115.3846,-9.33,
4,26.988,4,8.991134,1.566371,0.1742128,213.97,477.365,0,-115.3848,-9.33,
4,27.088,4,8.992162,1.521082,0.1691564,214.745,477.1675,0,-115.3849,-9.33,
4,27.188,4,8.99261,1.575597,0.1752102,215.5175,477.5837,0,-115.3846,-9.33,
4,27.288,4,8.992654,1.571541,0.1747583,216.2913,477.4138,0,-115.3846,-9.33,
4,27.388,4,8.987756,1.568868,0.1745562,217.0563,477.0163,0,-115.3847,-9.33,
