Recipe, UpperSample, LowerSample, OtherInfo, Averaging, LogFrequency, Type, Radius,,Lubricant
Rotary_3N_4tests-REVERSE_75-300mm-s_6-15mm-radius_3min-each.Rx,,,,100,1000,Rotary,1,,Vaseline
Step, Timestamp, RecipeStep, DAQ.COF (),DAQ.Fx (N),DAQ.Fz (N),Rotary.Velocity (rpm),Rotary.Position (rev),XYZ.Y Position (mm),XYZ.Z Position (mm),XYZ.X Position (mm),RTC.Temperature (°C),
4,18.066,4,0.1825665,0.5482023,3.002754,477.47,2088.719,-9.33,-116.3765,0,25.5,
4,18.166,4,0.1816072,0.5452764,3.002504,477.0113,2089.5,-9.33,-116.3765,0,25.5,
4,18.266,4,0.1793069,0.5390803,3.006467,477.8537,2090.291,-9.33,-116.3764,0,25.5,
4,18.366,4,0.1728683,0.5201965,3.009207,477.6137,2091.067,-9.33,-116.3761,0,25.5,
4,18.466,4,0.1731184,0.5208752,3.00878,477.2875,2091.846,-9.33,-116.3759,0,25.5,
4,18.566,4,0.1718268,0.5172933,3.01055,477.2462,2092.611,-9.33,-116.3759,0,25.5,
4,18.666,4,0.1720577,0.5177674,3.009265,477.3563,2093.404,-9.33,-116.3759,0,25.5,
4,18.766,4,0.1645464,0.4956524,3.012235,477.5512,2094.194,-9.33,-116.376,0,25.5,
4,18.866,4,0.1631298,0.4912943,3.011677,477.4375,2094.982,-9.33,-116.3762,0,25.5,
4,18.966,4,0.1653382,0.4964675,3.002739,477.4762,2095.751,-9.33,-116.3762,0,25.5,
4,19.066,4,0.167512,0.5024558,2.999522,477.8138,2096.531,-9.33,-116.3762,0,25.5,
4,19.166,4,0.1704741,0.5105841,2.995082,477.4337,2097.505,-9.33,-116.3762,0,25.5,
4,19.266,4,0.1731278,0.5189494,2.997494,477.2662,2098.277,-9.33,-116.3762,0,25.5,
4,19.366,4,0.1778966,0.5333486,2.998082,477.9937,2099.061,-9.33,-116.3762,0,25.5,
4,19.466,4,0.1788166,0.5364856,3.0002,477.5975,2099.835,-9.33,-116.3762,0,25.5,
4,19.566,4,0.1748932,0.5241421,2.996927,477.3225,2100.632,-9.33,-116.3763,0,25.5,
4,19.666,4,0.1787475,0.5350957,2.993584,477.615,2101.409,-9.33,-116.3763,0,25.5,
4,19.766,4,0.1785421,0.5348035,2.995392,477.62,2102.198,-9.33,-116.3763,0,25.5,
4,19.866,4,0.1801968,0.5403825,2.998847,477.7538,2102.97,-9.33,-116.3763,0,25.5,
4,19.966,4,0.1796955,0.5389634,2.999315,477.4,2103.736,-9.33,-116.3763,0,25.6,
4,20.066,4,0.1764645,0.5292568,2.999225,477.47,2104.516,-9.33,-116.3762,0,25.6,
4,20.166,4,0.1760847,0.527711,2.996915,477.46,2105.3,-9.33,-116.3761,0,25.6,
4,20.266,4,0.1746927,0.5243889,3.001779,477.3175,2106.081,-9.33,-116.3763,0,25.6,
4,20.366,4,0.1786703,0.537174,3.00651,477.285,2106.856,-9.33,-116.3764,0,25.6,
4,20.466,4,0.1795903,0.5403598,3.008847,477.6925,2107.636,-9.33,-116.3763,0,25.6,
4,20.566,4,0.1694694,0.5087103,3.001782,477.5925,2108.635,-9.33,-116.3761,0,25.6,
4,20.666,4,0.1702241,0.5101976,2.997212,477.27,2109.41,-9.33,-116.3762,0,25.6,
4,20.766,4,0.1716788,0.5148609,2.998977,477.485,2110.174,-9.33,-116.3764,0,25.6,
4,20.866,4,0.1755291,0.5265549,2.999816,477.6825,2110.961,-9.33,-116.3764,0,25.5,
4,20.966,4,0.1775144,0.5325692,3.000147,477.5262,2111.762,-9.33,-116.3761,0,25.5,
4,21.066,4,0.1785282,0.5353327,2.99859,477.43,2112.544,-9.33,-116.3758,0,25.5,
4,21.166,4,0.1792504,0.5371643,2.996726,477.4762,2113.318,-9.33,-116.3758,0,25.5,
4,21.266,4,0.1775276,0.5320204,2.996831,477.7887,2114.104,-9.33,-116.3755,0,25.5,
4,21.366,4,0.1772373,0.5310851,2.996463,477.5225,2114.889,-9.33,-116.3753,0,25.5,
4,21.466,4,0.1772826,0.5308805,2.994544,477.3425,2115.672,-9.33,-116.3752,0,25.5,
4,21.566,4,0.17526,0.5245091,2.992748,477.5862,2116.44,-9.33,-116.3751,0,25.5,
4,21.666,4,0.172176,0.5144777,2.988091,477.5713,2117.229,-9.33,-116.3749,0,25.5,
4,21.766,4,0.1747994,0.5222878,2.987927,477.1237,2118.01,-9.33,-116.375,0,25.5,
4,21.866,4,0.1747267,0.5229178,2.992776,477.395,2118.974,-9.33,-116.3751,0,25.5,
4,21.966,4,0.1727055,0.5172186,2.994801,477.5725,2119.735,-9.33,-116.3749,0,25.5,
4,22.066,4,0.1757033,0.5255255,2.990983,477.58,2120.541,-9.33,-116.3751,0,25.5,
4,22.166,4,0.178878,0.5352873,2.992472,477.1288,2121.323,-9.33,-116.3754,0,25.5,
4,22.266,4,0.1766954,0.5291756,2.994847,477.3438,2122.101,-9.33,-116.3755,0,25.5,
4,22.366,4,0.1789501,0.5362778,2.996801,477.6275,2122.877,-9.33,-116.3755,0,25.5,
4,22.466,4,0.175715,0.5265484,2.996605,477.4538,2123.66,-9.33,-116.3755,0,25.5,
4,22.566,4,0.1736899,0.5200049,2.993869,477.26,2124.432,-9.33,-116.3755,0,25.5,
4,22.666,4,0.1736725,0.5201575,2.995048,477.5825,2125.199,-9.33,-116.3755,0,25.5,
4,22.766,4,0.1709408,0.5123182,2.997051,477.645,2125.99,-9.33,-116.3755,0,25.5,
4,22.866,4,0.1688483,0.5062845,2.998457,477.1625,2126.771,-9.33,-116.3756,0,25.5,
4,22.966,4,0.1678462,0.5029526,2.99651,477.6275,2127.744,-9.33,-116.3757,0,25.5,
4,23.066,4,0.176465,0.5280195,2.992206,477.6363,2128.501,-9.33,-116.3758,0,25.5,
4,23.166,4,0.178669,0.5352938,2.996008,477.6638,2129.261,-9.33,-116.3758,0,25.5,
4,23.266,4,0.1782866,0.5342774,2.996732,477.455,2130.035,-9.33,-116.376,0,25.5,
4,23.366,4,0.1781409,0.5339786,2.997506,477.2687,2130.807,-9.33,-116.3762,0,25.5,
4,23.466,4,0.1774909,0.5316242,2.995219,477.6062,2131.573,-9.33,-116.3763,0,25.5,
4,23.566,4,0.1788972,0.5353327,2.992404,477.1463,2132.372,-9.33,-116.3766,0,25.5,
4,23.666,4,0.1803283,0.5403695,2.996587,477.1925,2133.163,-9.33,-116.3766,0,25.5,
4,23.766,4,0.1778517,0.5333291,2.998729,477.6487,2133.927,-9.33,-116.3766,0,25.5,
4,23.866,4,0.1749754,0.5249572,3.000178,477.4662,2134.911,-9.33,-116.3768,0,25.5,
4,23.966,4,0.1744109,0.5234991,3.001528,477.1487,2135.692,-9.33,-116.3768,0,25.5,
4,24.066,4,0.1755186,0.5268245,3.001531,477.5462,2136.487,-9.33,-116.3768,0,25.5,
4,24.166,4,0.1764745,0.5298024,3.002147,477.5787,2137.247,-9.33,-116.3768,0,25.5,
4,24.266,4,0.1768578,0.5309455,3.002104,477.7675,2138.038,-9.33,-116.3766,0,25.6,
4,24.366,4,0.1789384,0.5370767,3.00146,477.2213,2138.821,-9.33,-116.3766,0,25.6,
