Recipe, UpperSample, LowerSample, OtherInfo, Averaging, LogFrequency, Type, Radius
Rotary_9N_4tests-REVERSE_75-300mm-s_6-15mm-radius_3min-each.Rx,,,,100,1000,Rotary,1,
Step, Timestamp, RecipeStep, DAQ.Fz (N),DAQ.Fx (N),DAQ.COF (),Rotary.Position (rev),Rotary.Velocity (rpm),XYZ.X Position (mm),XYZ.Z Position (mm),XYZ.Y Position (mm),,DAQ.COF (Smoothed per Step),DAQ.COF (Smoothed per Step),DAQ.COF (Smoothed per Step)
4,14.188,4,8.987617,1.531539,nan,112.095,477.3637,0,-115.3825,-9.33,,nan,nan,nan
4,14.288,4,8.98478,1.552124,nan,112.8587,477.6025,0,-115.3825,-9.33,,nan,nan,nan
4,14.388,4,8.985765,1.548591,nan,113.6438,477.59,0,-115.3825,-9.33,,nan,nan,nan
4,14.488,4,8.988378,1.575925,nan,114.4088,477.1525,0,-115.3827,-9.33,,nan,nan,nan
4,14.588,4,8.986743,1.54688,nan,115.1738,477.3425,0,-115.3829,-9.33,,nan,nan,nan
4,14.688,4,8.98961,1.570417,nan,115.9512,477.5737,0,-115.3828,-9.33,,nan,nan,nan
4,14.788,4,8.991149,1.546957,nan,116.905,477.6425,0,-115.3828,-9.33,,nan,nan,nan
4,14.888,4,8.989244,1.546561,nan,117.6787,477.7112,0,-115.3828,-9.33,,nan,nan,nan
4,14.988,4,8.990084,1.575441,nan,118.4463,477.2712,0,-115.3827,-9.33,,nan,nan,nan
4,15.088,4,8.989328,1.550578,nan,119.1887,477.8225,0,-115.3827,-9.33,,nan,nan,nan
4,15.188,4,8.987827,1.572989,nan,119.9625,477.65,0,-115.3826,-9.33,,nan,nan,nan
4,15.288,4,8.982198,1.555388,nan,120.7275,476.9587,0,-115.3826,-9.33,,nan,nan,nan
4,15.388,4,8.987034,1.527288,nan,121.6938,477.6325,0,-115.3826,-9.33,,nan,nan,nan
4,15.488,4,8.986852,1.56073,nan,122.46,477.4213,0,-115.3823,-9.33,,nan,nan,nan
4,15.588,4,8.983365,1.550159,nan,123.235,477.6088,0,-115.3823,-9.33,,nan,nan,nan
4,15.688,4,8.985616,1.570005,nan,123.9987,477.5862,0,-115.382,-9.33,,nan,nan,nan
4,15.788,4,8.984152,1.558022,nan,124.75,477.5188,0,-115.382,-9.33,,nan,nan,nan
4,15.888,4,8.987486,1.549435,nan,125.5075,477.7063,0,-115.382,-9.33,,nan,nan,nan
4,15.988,4,8.987942,1.573372,nan,126.29,477.2763,0,-115.382,-9.33,,nan,nan,nan
4,16.088,4,8.98826,1.516536,nan,127.0625,477.2975,0,-115.382,-9.33,,nan,nan,nan
4,16.188,4,8.984594,1.573314,nan,128.0237,477.7775,0,-115.382,-9.33,,nan,nan,nan
4,16.288,4,8.980359,1.57082,nan,129.0425,477.85,0,-115.382,-9.33,,nan,nan,nan
4,16.388,4,8.982155,1.566907,nan,129.6175,477.1512,0,-115.3821,-9.33,,nan,nan,nan
4,16.488,4,8.984297,1.562854,nan,130.3662,477.5,0,-115.3823,-9.33,,nan,nan,nan
4,16.588,4,8.98156,1.53917,nan,131.1413,477.7475,0,-115.3824,-9.33,,nan,nan,nan
4,16.688,4,8.9921,1.523703,nan,132.1175,477.3625,0,-115.3822,-9.33,,nan,nan,nan
4,16.788,4,8.988344,1.50275,nan,132.775,477.1575,0,-115.3819,-9.33,,nan,nan,nan
4,16.888,4,8.988223,1.547552,nan,133.5287,477.4575,0,-115.3816,-9.33,,nan,nan,nan
4,16.988,4,8.987712,1.537478,nan,134.2925,477.3938,0,-115.3814,-9.33,,nan,nan,nan
4,17.088,4,8.987938,1.503741,nan,135.0687,477.4738,0,-115.3813,-9.33,,nan,nan,nan
4,17.188,4,8.98179,1.5431,nan,135.8313,477.3375,0,-115.3812,-9.33,,nan,nan,nan
4,17.288,4,8.982164,1.484233,nan,136.7838,477.5537,0,-115.3812,-9.33,,nan,nan,nan
4,17.388,4,8.985031,1.531097,nan,137.5638,477.6775,0,-115.3813,-9.33,,nan,nan,nan
4,17.488,4,8.982677,1.539868,nan,138.3387,477.1025,0,-115.3811,-9.33,,nan,nan,nan
4,17.588,4,8.979588,1.514318,nan,139.1475,477.655,0,-115.381,-9.33,,nan,nan,nan
4,17.688,4,8.983464,1.517445,nan,139.9275,477.5287,0,-115.381,-9.33,,nan,nan,nan
4,17.788,4,8.978643,1.531987,nan,140.7012,477.4025,0,-115.381,-9.33,,nan,nan,nan
4,17.888,4,8.979622,1.55947,nan,141.4738,477.2662,0,-115.3807,-9.33,,nan,nan,nan
4,17.988,4,8.978269,1.555235,nan,142.2388,477.4263,0,-115.3806,-9.33,,nan,nan,nan
4,18.088,4,8.980015,1.537296,nan,143.0038,477.9013,0,-115.3809,-9.33,,nan,nan,nan
4,18.188,4,8.977761,1.565445,nan,143.7725,477.295,0,-115.381,-9.33,,nan,nan,nan
4,18.288,4,8.975285,1.506754,nan,144.73,476.865,0,-115.3808,-9.33,,nan,nan,nan
4,18.388,4,8.979232,1.492079,nan,145.4787,477.3763,0,-115.3806,-9.33,,nan,nan,nan
4,18.488,4,8.980099,1.472939,nan,146.255,477.3212,0,-115.3808,-9.33,,nan,nan,nan
4,18.588,4,8.979244,1.504475,nan,147.0287,477.1738,0,-115.3806,-9.33,,nan,nan,nan
4,18.688,4,8.976665,1.561847,nan,147.7912,477.5787,0,-115.3806,-9.33,,nan,nan,nan
4,18.788,4,8.976748,1.510167,nan,148.5662,477.5837,0,-115.3809,-9.33,,nan,nan,nan
4,18.888,4,8.984888,1.540034,nan,149.5412,477.5963,0,-115.3811,-9.33,,nan,nan,nan
4,18.988,4,8.98029,1.548383,nan,150.3075,477.0575,0,-115.3814,-9.33,,nan,nan,nan
4,19.088,4,8.984941,1.587096,nan,151.0513,477.5888,0,-115.3818,-9.33,,nan,nan,nan
4,19.188,4,8.981052,1.569537,nan,151.8237,477.5075,0,-115.3818,-9.33,,nan,nan,nan
4,19.288,4,8.981922,1.586635,nan,152.5887,477.44,0,-115.3817,-9.33,,nan,nan,nan
4,19.388,4,8.98539,1.591467,nan,153.3475,477.1563,0,-115.3818,-9.33,,nan,nan,nan
4,19.488,4,8.983477,1.547594,nan,154.2962,477.65,0,-115.3818,-9.33,,nan,nan,nan
4,19.588,4,8.98627,1.533188,nan,155.0638,477.7362,0,-115.3817,-9.33,,nan,nan,nan
