Recipe, UpperSample, LowerSample, OtherInfo, Averaging, LogFrequency, Type, RadiusRotary_3N_4tests_75-300mm-s_6-15mm-radius_3min-each.Rx,,,,100,1000,Rotary,1,
Step, Timestamp, RecipeStep, DAQ.Fz (N),DAQ.Fx (N),DAQ.COF (),Rotary.Velocity (rpm),XYZ.X Position (mm),XYZ.Y Position (mm),XYZ.Z Position (mm),
4,19.044,4,2.99512,0.4832277,0.1613384,120.0387,0,-9.33,-114.6068,
4,19.144,4,3.000188,0.5104055,0.1701245,119.3037,0,-9.33,-114.607,
4,19.244,4,2.987584,0.4812565,0.1610855,119.2912,0,-9.33,-114.6069,
4,19.344,4,2.993426,0.5000461,0.1670481,119.165,0,-9.33,-114.6068,
4,19.444,4,2.999135,0.5007054,0.1669499,119.5788,0,-9.33,-114.6068,
4,19.544,4,2.9945,0.4856925,0.1621948,120.09,0,-9.33,-114.6067,
4,19.644,4,2.999305,0.5061513,0.1687562,119.3562,0,-9.33,-114.6065,
4,19.744,4,2.987791,0.4857932,0.1625928,118.9662,0,-9.33,-114.6066,
4,19.844,4,2.991943,0.4997182,0.1670213,118.9225,0,-9.33,-114.6066,
4,19.944,4,2.996581,0.5036476,0.1680741,119.8013,0,-9.33,-114.6066,
4,20.044,4,2.9922,0.4844065,0.1618898,119.8162,0,-9.33,-114.6067,
4,20.144,4,3.00095,0.5069535,0.168931,119.1938,0,-9.33,-114.6069,
4,20.244,4,2.988218,0.4817209,0.1612067,119.2962,0,-9.33,-114.6069,
4,20.344,4,2.992045,0.4955322,0.1656166,119.11,0,-9.33,-114.6069,
4,20.444,4,3.000197,0.5042191,0.168062,119.7337,0,-9.33,-114.607,
4,20.544,4,2.992875,0.4832115,0.1614539,119.9925,0,-9.33,-114.6068,
4,20.644,4,3.000553,0.5108634,0.1702564,119.2387,0,-9.33,-114.6067,
4,20.744,4,2.98776,0.482614,0.1615304,119.2412,0,-9.33,-114.6067,
4,20.844,4,2.991785,0.4954933,0.1656179,119.0125,0,-9.33,-114.6066,
4,20.944,4,2.997169,0.507879,0.1694529,119.365,0,-9.33,-114.6066,
4,21.044,4,2.992203,0.4798828,0.1603778,119.585,0,-9.33,-114.6068,
4,21.144,4,2.999646,0.5137146,0.1712584,119.065,0,-9.33,-114.6067,
4,21.244,4,2.988246,0.4864524,0.1627886,119.195,0,-9.33,-114.6067,
4,21.344,4,2.991847,0.4962759,0.1658761,119.2,0,-9.33,-114.6068,
4,21.444,4,2.999801,0.5077069,0.1692469,120.0638,0,-9.33,-114.6069,
4,21.544,4,2.992952,0.4786326,0.1599199,119.7025,0,-9.33,-114.607,
4,21.644,4,2.999717,0.508863,0.169637,119.28,0,-9.33,-114.6068,
4,21.744,4,2.988416,0.4883294,0.1634074,119.2113,0,-9.33,-114.6068,
4,21.844,4,2.991243,0.4959739,0.1658086,119.1175,0,-9.33,-114.6067,
4,21.944,4,2.997408,0.5042353,0.1682238,119.6075,0,-9.33,-114.6067,
4,22.044,4,2.991668,0.4862316,0.1625286,119.7725,0,-9.33,-114.6064,
4,22.144,4,2.997714,0.5075607,0.1693159,119.1475,0,-9.33,-114.6062,
4,22.244,4,2.984413,0.4874266,0.1633241,119.0162,0,-9.33,-114.6061,
4,22.344,4,2.986704,0.4928791,0.1650244,119.3388,0,-9.33,-114.6063,
4,22.444,4,2.995562,0.5136594,0.1714735,120.0425,0,-9.33,-114.6063,
4,22.544,4,2.990073,0.4775122,0.1596992,119.415,0,-9.33,-114.6062,
4,22.644,4,2.997479,0.5048718,0.1684322,119.3112,0,-9.33,-114.6065,
4,22.744,4,2.985785,0.4919763,0.1647729,119.1362,0,-9.33,-114.6066,
4,22.844,4,2.989884,0.4902649,0.1639745,119.3137,0,-9.33,-114.6069,
4,22.944,4,2.997197,0.514403,0.171628,119.8025,0,-9.33,-114.6069,
4,23.044,4,2.992079,0.4756449,0.158968,119.525,0,-9.33,-114.6068,
4,23.144,4,3.000714,0.5062293,0.1687029,119.1963,0,-9.33,-114.6069,
