Recipe, UpperSample, LowerSample, OtherInfo, Averaging, LogFrequency, Type, Radius
Rotary_3N_4tests_75-300mm-s_6-15mm-radius_3min-each.Rx,,,,100,1000,Rotary,1,
Step, Timestamp, RecipeStep, DAQ.Fz (N),DAQ.Fx (N),DAQ.COF (),Rotary.Velocity (rpm),Rotary.Position (rev),XYZ.Y Position (mm),XYZ.X Position (mm),XYZ.Z Position (mm),RTC.Temperature (°C),,DAQ.COF (Smoothed per Step),DAQ.COF (Smoothed per Step),DAQ.COF (Smoothed per Step),DAQ.COF (Smoothed per Step),DAQ.COF (Smoothed per Step),DAQ.COF (Smoothed per Step),DAQ.COF (Smoothed per Step),DAQ.COF (Smoothed per Step)
4,14.748,4,2.987763,0.4066078,nan,118.9688,29.02125,-9.33,0,-116.3743,25.1,,nan,nan,nan,nan,nan,nan,nan,nan
4,14.848,4,3.004102,0.421533,nan,118.91,29.215,-9.33,0,-116.3743,25.1,,nan,nan,nan,nan,nan,nan,nan,nan
4,14.948,4,3.004489,0.4068936,nan,119.6387,29.405,-9.33,0,-116.3742,25.1,,nan,nan,nan,nan,nan,nan,nan,nan
4,15.048,4,2.99842,0.3944948,nan,119.6787,29.6425,-9.33,0,-116.3741,25.1,,nan,nan,nan,nan,nan,nan,nan,nan
4,15.148,4,2.995005,0.4252155,nan,119.535,29.8325,-9.33,0,-116.3739,25.1,,nan,nan,nan,nan,nan,nan,nan,nan
4,15.248,4,2.990745,0.40564,nan,119.1063,30.02625,-9.33,0,-116.3739,25.1,,nan,nan,nan,nan,nan,nan,nan,nan
4,15.348,4,3.005801,0.4272907,nan,119.3587,30.21875,-9.33,0,-116.374,25.1,,nan,nan,nan,nan,nan,nan,nan,nan
4,15.448,4,3.005061,0.4231112,nan,119.5575,30.41,-9.33,0,-116.374,25.1,,nan,nan,nan,nan,nan,nan,nan,nan
4,15.548,4,3.001123,0.4110373,nan,119.6813,30.59875,-9.33,0,-116.374,25.1,,nan,nan,nan,nan,nan,nan,nan,nan
4,15.648,4,2.995773,0.4318111,nan,119.2537,30.83375,-9.33,0,-116.3741,25.1,,nan,nan,nan,nan,nan,nan,nan,nan
