Recipe, UpperSample, LowerSample, OtherInfo, Averaging, LogFrequency, Type, RadiusRotary_9N_4tests-REVERSE_75-300mm-s_6-15mm-radius_3min-each.Rx,,,,100,1000,Rotary,1,
Step, Timestamp, RecipeStep, DAQ.COF (),DAQ.Fx (N),DAQ.Fz (N),Rotary.Velocity (rpm),Rotary.Position (rev),XYZ.Y Position (mm),XYZ.Z Position (mm),XYZ.X Position (mm),RTC.Temperature (°C),
4,23.855,4,0.1436904,1.293362,9.001032,477.3025,188.925,-9.33,-117.2093,0,25.9,
4,23.955,4,0.1439447,1.29647,9.006722,477.4213,189.6888,-9.33,-117.2092,0,25.9,
4,24.055,4,0.141139,1.271156,9.00641,477.6825,190.4487,-9.33,-117.209,0,25.9,
4,24.155,4,0.1453855,1.309404,9.006432,477.3813,191.4,-9.33,-117.2091,0,25.9,
4,24.255,4,0.1434201,1.291137,9.002486,477.2213,192.155,-9.33,-117.2093,0,25.9,
4,24.355,4,0.1414265,1.273082,9.001722,477.6975,192.9337,-9.33,-117.2092,0,25.9,
4,24.455,4,0.1438987,1.295716,9.004363,477.53,193.705,-9.33,-117.209,0,25.9,
4,24.555,4,0.1403195,1.263287,9.002938,477.27,194.47,-9.33,-117.2088,0,25.9,
4,24.655,4,0.1446949,1.302737,9.003338,477.4625,195.2425,-9.33,-117.2088,0,25.9,
4,24.755,4,0.1413097,1.271916,9.000911,477.61,196.0188,-9.33,-117.2086,0,25.9,
4,24.855,4,0.1446167,1.301299,8.998258,477.0438,196.9762,-9.33,-117.2086,0,25.9,
4,24.955,4,0.1444995,1.300691,9.001356,477.4425,197.75,-9.33,-117.2086,0,25.9,
4,25.055,4,0.1419535,1.277735,9.001081,477.8,198.5213,-9.33,-117.2086,0,25.9,
4,25.155,4,0.1452482,1.307589,9.002443,477.4187,199.29,-9.33,-117.2088,0,25.9,
